tropicalis sample-ids,before filtering,after filtering,reads passed filter,reads failed due to low quality,reads failed due to too many N,reads failed due to too short,reads with adapter trimmed ,bases trimmed due to adapters,
CS1861_1,"total reads: 3641368
total bases: 546205200
Q20 bases: 536936576(98.3031%)
Q30 bases: 516874969(94.6302%)
","total reads: 3623023
total bases: 543265607
Q20 bases: 534521235(98.3904%)
Q30 bases: 514733062(94.748%)
",7246046,36382,2,306,13420,601568,
CS1861_2,"total reads: 3641368
total bases: 546205200
Q20 bases: 528944684(96.8399%)
Q30 bases: 496616746(90.9213%)
","total reads: 3623023
total bases: 543267847
Q20 bases: 527131145(97.0297%)
Q30 bases: 495211168(91.1541%)
",,,,,,,
CS1864_1,"total reads: 3968606
total bases: 595290900
Q20 bases: 584185708(98.1345%)
Q30 bases: 561076634(94.2525%)
","total reads: 3952925
total bases: 592677000
Q20 bases: 582051321(98.2072%)
Q30 bases: 559195450(94.3508%)
",7905850,31144,2,216,17336,679204,
CS1864_2,"total reads: 3968606
total bases: 595290900
Q20 bases: 579335873(97.3198%)
Q30 bases: 548483692(92.1371%)
","total reads: 3952925
total bases: 592681033
Q20 bases: 577663687(97.4662%)
Q30 bases: 547156626(92.3189%)
",,,,,,,
CS1906_1,"total reads: 3238101
total bases: 485715150
Q20 bases: 477114155(98.2292%)
Q30 bases: 458738116(94.4459%)
","total reads: 3224331
total bases: 483449574
Q20 bases: 475270258(98.3081%)
Q30 bases: 457101266(94.5499%)
",6448662,27162,0,378,13564,590822,
CS1906_2,"total reads: 3238101
total bases: 485715150
Q20 bases: 473571847(97.4999%)
Q30 bases: 449578658(92.5601%)
","total reads: 3224331
total bases: 483454636
Q20 bases: 472126917(97.6569%)
Q30 bases: 448424344(92.7542%)
",,,,,,,
CS1907_1,"total reads: 4054034
total bases: 608105100
Q20 bases: 596674940(98.1204%)
Q30 bases: 572859455(94.204%)
","total reads: 4033876
total bases: 604842786
Q20 bases: 593994475(98.2064%)
Q30 bases: 570496534(94.3215%)
",8067752,39980,12,324,16470,705673,
CS1907_2,"total reads: 4054034
total bases: 608105100
Q20 bases: 588544749(96.7834%)
Q30 bases: 552464001(90.8501%)
","total reads: 4033876
total bases: 604847265
Q20 bases: 586525205(96.9708%)
Q30 bases: 550895286(91.0801%)
",,,,,,,
CS2093_1,"total reads: 3575737
total bases: 536360550
Q20 bases: 527027922(98.26%)
Q30 bases: 506398303(94.4138%)
","total reads: 3556052
total bases: 533258710
Q20 bases: 524445063(98.3472%)
Q30 bases: 504098013(94.5316%)
",7112104,38864,4,502,10580,476761,
CS2093_2,"total reads: 3575737
total bases: 536360550
Q20 bases: 517820487(96.5434%)
Q30 bases: 483989462(90.2358%)
","total reads: 3556052
total bases: 533259710
Q20 bases: 515892313(96.7432%)
Q30 bases: 482498946(90.481%)
",,,,,,,
CS2182_1,"total reads: 4548290
total bases: 682243500
Q20 bases: 670577574(98.2901%)
Q30 bases: 645016267(94.5434%)
","total reads: 4529526
total bases: 679173644
Q20 bases: 668059606(98.3636%)
Q30 bases: 642784007(94.6421%)
",9059052,37258,10,260,18642,756449,
CS2182_2,"total reads: 4548290
total bases: 682243500
Q20 bases: 662208368(97.0633%)
Q30 bases: 623622507(91.4076%)
","total reads: 4529526
total bases: 679175816
Q20 bases: 660275857(97.2172%)
Q30 bases: 622100965(91.5965%)
",,,,,,,
CS2189_1,"total reads: 3502816
total bases: 525422400
Q20 bases: 516165586(98.2382%)
Q30 bases: 496817912(94.5559%)
","total reads: 3488335
total bases: 523048399
Q20 bases: 514252969(98.3184%)
Q30 bases: 495134968(94.6633%)
",6976670,28720,16,226,13980,575061,
CS2189_2,"total reads: 3502816
total bases: 525422400
Q20 bases: 511378811(97.3272%)
Q30 bases: 484013430(92.1189%)
","total reads: 3488335
total bases: 523055204
Q20 bases: 509865158(97.4783%)
Q30 bases: 482806147(92.305%)
",,,,,,,
CS2220_1,"total reads: 4309817
total bases: 646472550
Q20 bases: 635390876(98.2858%)
Q30 bases: 611310889(94.561%)
","total reads: 4292279
total bases: 643577763
Q20 bases: 633007349(98.3576%)
Q30 bases: 609194507(94.6575%)
",8584558,34760,8,308,19206,700599,
CS2220_2,"total reads: 4309817
total bases: 646472550
Q20 bases: 628267181(97.1839%)
Q30 bases: 592903812(91.7137%)
","total reads: 4292279
total bases: 643584645
Q20 bases: 626437949(97.3358%)
Q30 bases: 591462057(91.9012%)
",,,,,,,
CS2271_1,"total reads: 4880193
total bases: 732028950
Q20 bases: 716653889(97.8997%)
Q30 bases: 687157635(93.8703%)
","total reads: 4856645
total bases: 728174955
Q20 bases: 713580409(97.9957%)
Q30 bases: 684463653(93.9971%)
",9713290,46460,384,252,25660,1051530,
CS2271_2,"total reads: 4880193
total bases: 732028950
Q20 bases: 711755171(97.2305%)
Q30 bases: 674128912(92.0905%)
","total reads: 4856645
total bases: 728179729
Q20 bases: 709311098(97.4088%)
Q30 bases: 672197323(92.312%)
",,,,,,,
CS2272_1,"total reads: 3590816
total bases: 538622400
Q20 bases: 529362747(98.2809%)
Q30 bases: 509385676(94.5719%)
","total reads: 3576014
total bases: 536203554
Q20 bases: 527386554(98.3557%)
Q30 bases: 507634622(94.672%)
",7152028,29360,4,240,15670,535676,
CS2272_2,"total reads: 3590816
total bases: 538622400
Q20 bases: 523933916(97.273%)
Q30 bases: 495250464(91.9476%)
","total reads: 3576014
total bases: 536209331
Q20 bases: 522401531(97.4249%)
Q30 bases: 494038341(92.1353%)
",,,,,,,
